Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-perccombo	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
ERR6913312_1	7.300874018743656	48.0	121.86357043826389	0.0	500566.0	86.37	
ERR6913312_2	7.205962243418853	48.0	121.85222328324336	0.0	500566.0		
ERR6913314_1	8.468823021073973	53.0	133.51257281657345	10.0	1074103.0	67.06	
ERR6913314_2	8.214660050493734	53.0	133.5140326393279	10.0	1074103.0		
ERR6913315_1	4.349479671924598	46.0	127.51178066198779	0.0	373451.0	79.32	
ERR6913315_2	4.301238950531939	46.0	127.50899046996794	0.0	373451.0		
ERR6913316_1	4.619715971864309	49.0	111.83813948977071	0.0	433021.0	94.04	
ERR6913316_2	4.570187154693912	49.0	111.84859394809952	0.0	433021.0		
ERR6913341_1	50.26998414705039	50.0	130.24175579929457	10.0	1138285.0	84.61	
ERR6913341_2	49.76509897868446	50.0	130.23479444954472	0.0	1138285.0		
ERR6913343_1	64.95083000316117	52.0	136.27479595427167	10.0	1739316.0	85.66	
ERR6913343_2	64.61162268471122	52.0	136.27377773791537	10.0	1739316.0		
ERR6913344_1	67.33250309798694	51.0	136.03924413476062	10.0	1190318.0	84.46	
ERR6913344_2	66.95467421647889	51.0	136.03206370062455	10.0	1190318.0		
ERR6913345_1	67.25227730266988	51.0	118.75154614211637	10.0	1375197.0	91.91	
ERR6913345_2	67.07487395069755	51.0	118.7415526648182	10.0	1375197.0		
rachel_bowtie_merged2PhiX							0.0
rachel_bowtie_merged2_SC2							0.0
rfeeney_bowtie_merged2PhiX							0.0
